start_ticks,channel,end_beats,end_s,end_ticks,key_signature,length_beats,length_s,length_ticks,note,start_beats,start_s,time_signature,track,velocity
21504,0,84.24609375,36.42971922265625,21567,D,84.24609375,0.10398322265625382,63,47,84.0,36.325736,4 4,Piano,53
21504,1,84.4921875,36.5337024453125,21630,D,84.4921875,0.20796644531250053,126,23,84.0,36.325736,4 4,Piano,32
21632,0,84.74609375,36.64098672265625,21695,D,84.74609375,0.10398322265625382,63,49,84.5,36.5370035,4 4,Piano,53
21760,0,85.24609375,36.85225422265625,21823,D,85.24609375,0.10398322265624671,63,50,85.0,36.748271,4 4,Piano,53
21760,1,85.4921875,36.9562374453125,21886,D,85.4921875,0.20796644531250053,126,30,85.0,36.748271,4 4,Piano,41
21888,0,85.74609375,37.06352172265625,21951,D,85.74609375,0.10398322265624671,63,52,85.5,36.9595385,4 4,Piano,51
22016,0,86.24609375,37.27478922265625,22079,D,86.24609375,0.10398322265625382,63,54,86.0,37.170806,4 4,Piano,56
22016,1,86.4921875,37.3787724453125,22142,D,86.4921875,0.20796644531250053,126,23,86.0,37.170806,4 4,Piano,28
22144,0,86.74609375,37.48605672265625,22207,D,86.74609375,0.10398322265624671,63,50,86.5,37.382073500000004,4 4,Piano,33
22272,0,87.4921875,37.8013074453125,22398,D,87.4921875,0.20796644531250053,126,54,87.0,37.593341,4 4,Piano,37
22272,1,87.4921875,37.8013074453125,22398,D,87.4921875,0.20796644531250053,126,30,87.0,37.593341,4 4,Piano,38
